,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
0,4,1.0,1.0,1,85.00,,,207,95,10.0,10.0,10.0,9.0,10.0
1,4,1.0,1.0,1,150.00,100.00,40.00,43,96,10.0,10.0,10.0,10.0,10.0
2,11,4.5,5.0,7,975.00,1000.00,300.00,20,97,10.0,10.0,10.0,10.0,10.0
3,6,2.0,3.0,3,450.00,700.00,125.00,38,92,9.0,10.0,10.0,9.0,9.0
4,2,1.0,1.0,1,120.00,,40.00,17,95,10.0,10.0,10.0,10.0,10.0
5,2,1.0,1.0,1,80.00,150.00,,58,99,10.0,10.0,10.0,10.0,10.0
6,2,1.0,1.0,1,60.00,150.00,25.00,173,97,10.0,10.0,10.0,9.0,10.0
7,2,1.0,1.0,1,90.00,,,8,97,9.0,10.0,9.0,10.0,10.0
8,4,1.0,1.0,1,150.00,100.00,40.00,32,97,10.0,10.0,10.0,10.0,9.0
9,2,1.0,1.0,1,95.00,,15.00,181,97,10.0,10.0,10.0,10.0,10.0
10,2,1.0,1.0,1,99.00,500.00,150.00,8,97,10.0,9.0,10.0,10.0,9.0
11,4,1.0,2.0,3,245.00,300.00,95.00,13,98,10.0,10.0,10.0,10.0,10.0
12,16,3.5,6.0,15,461.00,1500.00,300.00,18,98,10.0,10.0,10.0,10.0,10.0
13,5,1.0,2.0,2,109.00,,89.00,1,80,10.0,8.0,8.0,8.0,8.0
14,2,1.0,1.0,1,66.00,100.00,35.00,84,95,9.0,10.0,10.0,10.0,9.0
15,2,1.0,1.0,1,99.00,100.00,15.00,45,98,10.0,10.0,10.0,10.0,10.0
16,10,3.5,5.0,5,700.00,500.00,250.00,5,85,9.0,9.0,9.0,8.0,8.0
17,3,1.5,1.0,2,99.00,,15.00,11,84,9.0,9.0,9.0,10.0,8.0
18,2,1.0,1.0,1,45.00,150.00,25.00,80,95,10.0,10.0,10.0,9.0,9.0
19,3,1.0,1.0,2,80.00,,65.00,4,85,9.0,7.0,10.0,9.0,9.0
20,4,1.0,1.0,1,175.00,,40.00,38,96,10.0,10.0,10.0,10.0,10.0
21,6,1.5,3.0,3,325.00,500.00,100.00,68,92,9.0,10.0,9.0,10.0,9.0
22,4,3.0,3.0,2,175.00,200.00,80.00,8,88,9.0,9.0,9.0,10.0,9.0
23,4,1.0,2.0,2,159.00,250.00,99.00,62,97,10.0,10.0,10.0,10.0,9.0
24,4,1.0,1.0,2,125.00,,50.00,19,95,10.0,10.0,10.0,10.0,10.0
25,8,3.0,3.0,3,348.00,750.00,150.00,5,96,10.0,10.0,10.0,10.0,9.0
26,1,1.0,1.0,1,45.00,,,7,97,8.0,10.0,10.0,10.0,10.0
27,2,1.0,0.0,1,80.00,,20.00,11,98,10.0,10.0,10.0,10.0,10.0
28,4,1.0,1.0,2,110.00,100.00,40.00,71,90,8.0,10.0,10.0,10.0,9.0
29,3,1.0,1.0,2,148.00,,100.00,9,91,10.0,9.0,9.0,10.0,10.0
30,4,1.5,2.0,2,350.00,500.00,100.00,41,98,10.0,10.0,10.0,10.0,9.0
31,3,1.5,1.0,2,150.00,,50.00,18,98,10.0,10.0,10.0,10.0,10.0
32,2,1.0,0.0,1,100.00,,,20,92,9.0,9.0,9.0,9.0,9.0
33,4,1.0,1.0,3,130.00,140.00,75.00,26,95,10.0,9.0,10.0,10.0,9.0
34,2,1.0,1.0,1,145.00,100.00,30.00,44,94,10.0,10.0,10.0,10.0,9.0
35,2,1.0,0.0,1,95.00,200.00,60.00,77,98,10.0,10.0,10.0,10.0,10.0
36,2,1.0,0.0,1,90.00,150.00,25.00,109,97,10.0,10.0,10.0,9.0,10.0
37,2,1.0,1.0,1,80.00,,,52,92,9.0,10.0,10.0,10.0,9.0
38,2,1.0,1.0,2,60.00,150.00,25.00,191,97,10.0,10.0,10.0,9.0,10.0
39,6,2.5,3.0,4,170.00,250.00,100.00,9,91,9.0,10.0,10.0,10.0,9.0
40,2,1.0,1.0,1,85.00,,50.00,65,98,10.0,10.0,10.0,10.0,10.0
41,12,3.5,5.0,7,465.00,1000.00,250.00,5,96,10.0,10.0,10.0,10.0,9.0
42,2,1.0,1.0,1,175.00,250.00,50.00,5,96,10.0,10.0,10.0,10.0,9.0
43,2,1.0,1.0,1,59.00,,12.00,16,93,10.0,10.0,10.0,10.0,10.0
44,4,1.0,2.0,2,145.00,100.00,45.00,45,97,9.0,10.0,10.0,10.0,9.0
45,2,1.0,1.0,1,70.00,,,75,94,9.0,10.0,10.0,10.0,10.0
46,2,1.0,1.0,1,55.00,100.00,25.00,86,94,10.0,10.0,10.0,10.0,10.0
47,4,1.0,1.0,2,95.00,,30.00,151,97,10.0,10.0,10.0,10.0,10.0
48,2,1.0,1.0,1,125.00,,,6,92,10.0,10.0,10.0,10.0,8.0
49,2,1.0,1.0,1,65.00,,45.00,16,94,10.0,10.0,10.0,10.0,10.0
50,6,1.0,3.0,4,149.00,,,165,95,10.0,10.0,10.0,10.0,9.0
51,4,2.0,2.0,2,150.00,,,27,93,10.0,10.0,10.0,10.0,9.0
52,2,1.5,1.0,1,150.00,,60.00,9,98,10.0,10.0,10.0,9.0,9.0
53,5,1.5,2.0,2,80.00,200.00,75.00,88,95,10.0,10.0,10.0,9.0,9.0
54,2,1.0,1.0,1,126.00,300.00,95.00,10,98,10.0,10.0,10.0,10.0,9.0
55,4,1.0,1.0,2,115.00,500.00,50.00,5,96,10.0,10.0,10.0,9.0,10.0
56,4,2.0,2.0,2,225.00,,75.00,10,98,10.0,10.0,10.0,10.0,9.0
57,2,1.0,1.0,1,89.00,,10.00,244,97,9.0,10.0,10.0,10.0,10.0
58,4,1.0,1.0,2,134.00,200.00,100.00,40,98,10.0,10.0,10.0,10.0,10.0
59,2,1.0,1.0,1,75.00,,100.00,2,80,10.0,10.0,10.0,10.0,9.0
60,2,1.0,1.0,1,65.00,,,46,97,10.0,10.0,10.0,10.0,10.0
61,6,2.5,3.0,4,375.00,300.00,100.00,23,96,10.0,10.0,10.0,10.0,9.0
62,3,1.0,1.0,2,97.00,100.00,45.00,44,98,10.0,10.0,10.0,10.0,10.0
63,2,1.0,1.0,1,145.00,150.00,45.00,14,97,10.0,10.0,10.0,10.0,9.0
64,2,1.0,1.0,1,120.00,350.00,60.00,25,99,10.0,10.0,10.0,10.0,10.0
65,4,1.0,1.0,1,200.00,150.00,,35,95,9.0,10.0,10.0,10.0,9.0
66,2,1.0,1.0,1,70.00,250.00,,31,95,10.0,10.0,10.0,10.0,10.0
