id,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
241032,4,1.0,1.0,1.0,85.00,,,207,95.0,10.0,10.0,10.0,9.0,10.0
953595,4,1.0,1.0,1.0,150.00,100.00,40.00,43,96.0,10.0,10.0,10.0,10.0,10.0
3308979,11,4.5,5.0,7.0,975.00,1000.00,300.00,20,97.0,10.0,10.0,10.0,10.0,10.0
7421966,3,1.0,0.0,2.0,100.00,,,0,,,,,,
278830,6,2.0,3.0,3.0,450.00,700.00,125.00,38,92.0,9.0,10.0,10.0,9.0,9.0
5956968,2,1.0,1.0,1.0,120.00,,40.00,17,95.0,10.0,10.0,10.0,10.0,10.0
1909058,2,1.0,1.0,1.0,80.00,150.00,,58,99.0,10.0,10.0,10.0,10.0,10.0
856550,2,1.0,1.0,1.0,60.00,150.00,25.00,173,97.0,10.0,10.0,10.0,9.0,10.0
4948745,2,1.0,1.0,1.0,90.00,,,8,97.0,9.0,10.0,9.0,10.0,10.0
2493658,4,1.0,1.0,1.0,150.00,100.00,40.00,32,97.0,10.0,10.0,10.0,10.0,9.0
175576,2,1.0,1.0,1.0,95.00,,15.00,181,97.0,10.0,10.0,10.0,10.0,10.0
4454295,2,1.0,1.0,1.0,99.00,500.00,150.00,8,97.0,10.0,9.0,10.0,10.0,9.0
3883392,4,1.0,2.0,3.0,245.00,300.00,95.00,13,98.0,10.0,10.0,10.0,10.0,10.0
8889257,5,1.0,2.0,3.0,165.00,400.00,85.00,3,100.0,10.0,9.0,9.0,10.0,10.0
5680462,16,3.5,6.0,15.0,461.00,1500.00,300.00,18,98.0,10.0,10.0,10.0,10.0,10.0
8988178,5,1.0,2.0,2.0,109.00,,89.00,1,80.0,10.0,8.0,8.0,8.0,8.0
3245876,2,1.0,1.0,1.0,66.00,100.00,35.00,84,95.0,9.0,10.0,10.0,10.0,9.0
4933447,2,1.0,1.0,1.0,99.00,100.00,15.00,45,98.0,10.0,10.0,10.0,10.0,10.0
7735464,2,2.0,1.0,1.0,200.00,,,0,,,,,,
6291829,10,3.5,5.0,5.0,700.00,500.00,250.00,5,85.0,9.0,9.0,9.0,8.0,8.0
9218403,1,1.0,1.0,1.0,110.00,,,1,100.0,10.0,10.0,10.0,10.0,10.0
4125779,3,1.5,1.0,2.0,99.00,,15.00,11,84.0,9.0,9.0,9.0,10.0,8.0
8942678,8,2.0,4.0,4.0,450.00,,,1,100.0,10.0,10.0,10.0,10.0,10.0
10106055,2,1.0,1.0,1.0,75.00,,,0,,,,,,
6362362,5,2.5,3.0,3.0,600.00,500.00,150.00,1,100.0,10.0,10.0,10.0,10.0,10.0
3544550,8,2.5,3.0,5.0,450.00,500.00,200.00,8,100.0,10.0,9.0,10.0,10.0,10.0
9025039,5,1.0,2.0,3.0,150.00,250.00,35.00,0,,,,,,
3200646,2,1.0,1.0,1.0,45.00,150.00,25.00,80,95.0,10.0,10.0,10.0,9.0,9.0
8859380,6,2.0,3.0,3.0,300.00,500.00,125.00,6,100.0,10.0,10.0,10.0,10.0,10.0
4520099,3,1.0,1.0,2.0,80.00,,65.00,4,85.0,9.0,7.0,10.0,9.0,9.0
2481869,4,1.0,1.0,1.0,175.00,,40.00,38,96.0,10.0,10.0,10.0,10.0,10.0
1110749,6,1.5,3.0,3.0,325.00,500.00,100.00,68,92.0,9.0,10.0,9.0,10.0,9.0
5978498,4,3.0,3.0,2.0,175.00,200.00,80.00,8,88.0,9.0,9.0,9.0,10.0,9.0
5021081,7,3.5,4.0,3.0,222.00,500.00,250.00,5,75.0,9.0,8.0,9.0,9.0,8.0
1686930,4,1.0,2.0,2.0,159.00,250.00,99.00,62,97.0,10.0,10.0,10.0,10.0,9.0
7680289,4,1.0,1.0,2.0,125.00,,50.00,19,95.0,10.0,10.0,10.0,10.0,10.0
7207641,8,3.0,3.0,3.0,348.00,750.00,150.00,5,96.0,10.0,10.0,10.0,10.0,9.0
5062445,1,1.0,1.0,1.0,45.00,,,7,97.0,8.0,10.0,10.0,10.0,10.0
8925878,4,1.0,1.0,2.0,150.00,,50.00,2,100.0,10.0,10.0,10.0,10.0,10.0
6389657,2,1.0,0.0,1.0,80.00,,20.00,11,98.0,10.0,10.0,10.0,10.0,10.0
4218733,4,1.0,1.0,2.0,110.00,100.00,40.00,71,90.0,8.0,10.0,10.0,10.0,9.0
2715623,3,1.0,1.0,2.0,148.00,,100.00,9,91.0,10.0,9.0,9.0,10.0,10.0
1392332,4,1.5,2.0,2.0,350.00,500.00,100.00,41,98.0,10.0,10.0,10.0,10.0,9.0
7308567,3,1.5,1.0,2.0,150.00,,50.00,18,98.0,10.0,10.0,10.0,10.0,10.0
6575380,5,1.0,1.0,1.0,150.00,,,9,100.0,10.0,9.0,9.0,10.0,10.0
6004058,2,1.0,0.0,1.0,100.00,,,20,92.0,9.0,9.0,9.0,9.0,9.0
9550869,10,3.0,4.0,4.0,349.00,,200.00,0,,,,,,
8515408,2,1.0,0.0,1.0,110.00,,50.00,3,100.0,10.0,10.0,10.0,10.0,10.0
5383192,4,1.0,1.0,2.0,160.00,100.00,55.00,1,100.0,10.0,10.0,10.0,10.0,10.0
1112092,4,1.0,1.0,3.0,130.00,140.00,75.00,26,95.0,10.0,9.0,10.0,10.0,9.0
7772661,2,1.0,0.0,1.0,99.00,,50.00,2,100.0,10.0,10.0,10.0,10.0,10.0
9254900,2,1.0,0.0,1.0,100.00,,40.00,0,,,,,,
7714294,3,1.0,1.0,1.0,137.00,,20.00,3,100.0,10.0,10.0,10.0,10.0,10.0
10310373,3,1.0,1.0,1.0,20.00,,,0,,,,,,
9368342,2,1.5,1.0,1.0,150.00,500.00,50.00,0,,,,,,
6361863,2,1.0,1.0,1.0,145.00,100.00,30.00,44,94.0,10.0,10.0,10.0,10.0,9.0
8105221,2,1.0,1.0,1.0,80.00,,,10,100.0,10.0,10.0,10.0,10.0,10.0
3269390,2,1.0,0.0,1.0,95.00,200.00,60.00,77,98.0,10.0,10.0,10.0,10.0,10.0
4566393,4,2.5,3.0,3.0,400.00,750.00,120.00,0,,,,,,
9282409,2,2.0,1.0,1.0,85.00,,,2,100.0,10.0,10.0,10.0,10.0,10.0
8095168,2,1.0,1.0,1.0,70.00,,20.00,1,100.0,10.0,10.0,10.0,10.0,10.0
2746782,2,1.0,0.0,1.0,90.00,150.00,25.00,109,97.0,10.0,10.0,10.0,9.0,10.0
6424982,2,1.0,1.0,1.0,80.00,,,52,92.0,9.0,10.0,10.0,10.0,9.0
762029,2,1.0,1.0,2.0,60.00,150.00,25.00,191,97.0,10.0,10.0,10.0,9.0,10.0
8988281,4,1.0,2.0,2.0,175.00,250.00,78.00,0,,,,,,
7077910,6,2.5,3.0,4.0,170.00,250.00,100.00,9,91.0,9.0,10.0,10.0,10.0,9.0
3772674,2,1.0,1.0,1.0,85.00,,50.00,65,98.0,10.0,10.0,10.0,10.0,10.0
7021906,12,3.5,5.0,7.0,465.00,1000.00,250.00,5,96.0,10.0,10.0,10.0,10.0,9.0
7618605,2,1.0,1.0,1.0,175.00,250.00,50.00,5,96.0,10.0,10.0,10.0,10.0,9.0
10234558,2,1.0,1.0,1.0,50.00,,,0,,,,,,
7021702,2,1.0,1.0,1.0,60.00,,,0,,,,,,
7680439,2,1.0,1.0,1.0,59.00,,12.00,16,93.0,10.0,10.0,10.0,10.0,10.0
4258515,4,1.0,1.0,4.0,47.00,200.00,15.00,23,77.0,8.0,9.0,9.0,9.0,8.0
1148517,4,1.0,2.0,2.0,145.00,100.00,45.00,45,97.0,9.0,10.0,10.0,10.0,9.0
2487892,2,1.0,1.0,1.0,70.00,,,75,94.0,9.0,10.0,10.0,10.0,10.0
3038772,2,1.0,1.0,1.0,55.00,100.00,25.00,86,94.0,10.0,10.0,10.0,10.0,10.0
699460,4,1.0,1.0,2.0,95.00,,30.00,151,97.0,10.0,10.0,10.0,10.0,10.0
4085439,2,1.0,1.0,1.0,125.00,,,6,92.0,10.0,10.0,10.0,10.0,8.0
8053990,2,1.0,1.0,1.0,65.00,,45.00,16,94.0,10.0,10.0,10.0,10.0,10.0
7011773,1,1.0,1.0,1.0,25.00,,,0,,,,,,
2467550,4,1.0,0.0,2.0,40.00,500.00,50.00,0,,,,,,
2686374,6,1.0,3.0,4.0,149.00,,,165,95.0,10.0,10.0,10.0,10.0,9.0
1956274,2,1.5,1.0,1.0,125.00,250.00,75.00,48,100.0,10.0,10.0,10.0,10.0,10.0
8537192,2,0.5,1.0,1.0,55.00,,,0,,,,,,
5919096,4,1.0,1.0,3.0,129.00,250.00,75.00,2,100.0,10.0,10.0,10.0,10.0,10.0
6516529,2,1.0,1.0,1.0,100.00,,,0,,,,,,
3294243,4,2.0,2.0,2.0,150.00,,,27,93.0,10.0,10.0,10.0,10.0,9.0
10210971,1,1.0,1.0,1.0,50.00,500.00,10.00,0,,,,,,
3584790,6,1.0,2.0,3.0,99.00,200.00,,0,,,,,,
1266459,2,1.5,1.0,1.0,150.00,,60.00,9,98.0,10.0,10.0,10.0,9.0,9.0
9098059,4,1.0,1.0,3.0,105.00,,,0,,,,,,
408526,7,4.0,3.0,3.0,218.00,750.00,300.00,0,,,,,,
4118282,5,1.5,2.0,2.0,80.00,200.00,75.00,88,95.0,10.0,10.0,10.0,9.0,9.0
6813483,2,1.0,1.0,1.0,126.00,300.00,95.00,10,98.0,10.0,10.0,10.0,10.0,9.0
6590264,4,1.0,1.0,2.0,115.00,500.00,50.00,5,96.0,10.0,10.0,10.0,9.0,10.0
2650482,4,2.0,2.0,2.0,225.00,,75.00,10,98.0,10.0,10.0,10.0,10.0,9.0
