accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
4,1.0,1.0,1,85.00,,,207,95,10.0,10.0,10.0,9.0,10.0
4,1.0,1.0,1,150.00,100.00,40.00,43,96,10.0,10.0,10.0,10.0,10.0
11,4.5,5.0,7,975.00,1000.00,300.00,20,97,10.0,10.0,10.0,10.0,10.0
6,2.0,3.0,3,450.00,700.00,125.00,38,92,9.0,10.0,10.0,9.0,9.0
2,1.0,1.0,1,120.00,,40.00,17,95,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,80.00,150.00,,58,99,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,60.00,150.00,25.00,173,97,10.0,10.0,10.0,9.0,10.0
2,1.0,1.0,1,90.00,,,8,97,9.0,10.0,9.0,10.0,10.0
4,1.0,1.0,1,150.00,100.00,40.00,32,97,10.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,95.00,,15.00,181,97,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,99.00,500.00,150.00,8,97,10.0,9.0,10.0,10.0,9.0
4,1.0,2.0,3,245.00,300.00,95.00,13,98,10.0,10.0,10.0,10.0,10.0
16,3.5,6.0,15,461.00,1500.00,300.00,18,98,10.0,10.0,10.0,10.0,10.0
5,1.0,2.0,2,109.00,,89.00,1,80,10.0,8.0,8.0,8.0,8.0
2,1.0,1.0,1,66.00,100.00,35.00,84,95,9.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,99.00,100.00,15.00,45,98,10.0,10.0,10.0,10.0,10.0
10,3.5,5.0,5,700.00,500.00,250.00,5,85,9.0,9.0,9.0,8.0,8.0
3,1.5,1.0,2,99.00,,15.00,11,84,9.0,9.0,9.0,10.0,8.0
2,1.0,1.0,1,45.00,150.00,25.00,80,95,10.0,10.0,10.0,9.0,9.0
