,count,mean,std,min,25%,50%,75%,max
accommodates,2320.0,3.3288793103448278,1.9349116714874433,1.0,2.0,3.0,4.0,16.0
bathrooms,2309.0,1.2215244694673018,0.5522681425983786,0.0,1.0,1.0,1.0,8.0
bedrooms,2317.0,1.249892101855848,0.8192187590789826,0.0,1.0,1.0,1.0,6.0
beds,2320.0,1.7086206896551723,1.1250082815481621,1.0,1.0,1.0,2.0,15.0
price,2320.0,120.6051724137931,81.44105384492346,25.0,72.75,100.0,148.0,999.0
security_deposit,1183.0,264.57142857142856,227.53559011007283,95.0,100.0,200.0,300.0,2500.0
cleaning_fee,1783.0,57.97980931015143,45.6511271032793,5.0,25.0,50.0,75.0,300.0
number_of_reviews,2320.0,34.19008620689655,43.6463361748106,1.0,9.0,19.0,42.0,474.0
review_scores_rating,2320.0,93.52801724137932,4.716004462859275,80.0,91.0,95.0,97.0,99.0
review_scores_cleanliness,2318.0,9.513805004314063,0.7336355218511886,5.0,9.0,10.0,10.0,10.0
review_scores_checkin,2317.0,9.775571860164005,0.5471299615772086,4.0,10.0,10.0,10.0,10.0
review_scores_communication,2319.0,9.80638206123329,0.4985161525945293,4.0,10.0,10.0,10.0,10.0
review_scores_location,2318.0,9.569456427955133,0.6065096144576222,6.0,9.0,10.0,10.0,10.0
review_scores_value,2318.0,9.389128559102675,0.6638212315085588,4.0,9.0,9.0,10.0,10.0
