,count,mean,std,min,25%,50%,75%,max
id,3101.0,5013191.151886488,2800994.0541481716,4291.0,2692126.0,5297143.0,7441508.0,10248139.0
accommodates,3101.0,3.382457271847791,1.9913041338318014,1.0,2.0,3.0,4.0,16.0
bathrooms,3090.0,1.2601941747572816,0.5961470884630032,0.0,1.0,1.0,1.0,8.0
bedrooms,3095.0,1.3040387722132472,0.8750102992001347,0.0,1.0,1.0,2.0,7.0
beds,3101.0,1.7439535633666559,1.1585167281726516,1.0,1.0,1.0,2.0,15.0
price,3101.0,126.82328281199614,90.10670584579701,22.0,75.0,100.0,150.0,1000.0
security_deposit,1569.0,279.8457616316125,262.8357967292366,95.0,150.0,200.0,300.0,5000.0
cleaning_fee,2359.0,60.807969478592625,48.36798797204466,5.0,25.0,50.0,80.0,300.0
number_of_reviews,3101.0,27.158980973879395,40.20737623861418,1.0,4.0,13.0,32.0,474.0
review_scores_rating,3101.0,95.15801354401806,4.953023624056534,80.0,93.0,96.0,100.0,100.0
review_scores_cleanliness,3095.0,9.607431340872374,0.683641405857989,5.0,9.0,10.0,10.0,10.0
review_scores_checkin,3090.0,9.816504854368931,0.5092089004030301,4.0,10.0,10.0,10.0,10.0
review_scores_communication,3097.0,9.840490797546012,0.46283115597008745,4.0,10.0,10.0,10.0,10.0
review_scores_location,3093.0,9.630455868089234,0.5922666398778172,6.0,9.0,10.0,10.0,10.0
review_scores_value,3092.0,9.502263906856404,0.6502579317153035,4.0,9.0,10.0,10.0,10.0
